URN,caption,rights
"urn:cite:fufolioimg:BotCarBartramW.Bartram_William_Georgia_A_folder_0252","William Bartram, Plants gathered by William Bartram, West Georgia","Image courtesy of the Sloane Herbarium, Mark Spencer, Curator, the Natural History Museum, London. Creative Commons Attribution, NonCommercial, ShareAlike 3.0 Unported License."
"urn:cite:fufolioimg:BotCarBartramW.Bartram_William_Georgia_A_notes_0251","William Bartram, Plants gathered by William Bartram, West Georgia","Image courtesy of the Sloane Herbarium, Mark Spencer, Curator, the Natural History Museum, London. Creative Commons Attribution, NonCommercial, ShareAlike 3.0 Unported License."
"urn:cite:fufolioimg:BotCarBartramW.Bartram_William_Georgia_A_title_0248","William Bartram, Plants gathered by William Bartram, West Georgia","Image courtesy of the Sloane Herbarium, Mark Spencer, Curator, the Natural History Museum, London. Creative Commons Attribution, NonCommercial, ShareAlike 3.0 Unported License."
"urn:cite:fufolioimg:BotCarBartramW.Bartram_William_Georgia_A1_0240","William Bartram, Plants gathered by William Bartram, West Georgia","Image courtesy of the Sloane Herbarium, Mark Spencer, Curator, the Natural History Museum, London. Creative Commons Attribution, NonCommercial, ShareAlike 3.0 Unported License."
"urn:cite:fufolioimg:BotCarBartramW.Bartram_William_Georgia_A1_2_0241","William Bartram, Plants gathered by William Bartram, West Georgia","Image courtesy of the Sloane Herbarium, Mark Spencer, Curator, the Natural History Museum, London. Creative Commons Attribution, NonCommercial, ShareAlike 3.0 Unported License."
"urn:cite:fufolioimg:BotCarBartramW.Bartram_William_Georgia_A2_0249","William Bartram, Plants gathered by William Bartram, West Georgia","Image courtesy of the Sloane Herbarium, Mark Spencer, Curator, the Natural History Museum, London. Creative Commons Attribution, NonCommercial, ShareAlike 3.0 Unported License."
"urn:cite:fufolioimg:BotCarBartramW.Bartram_William_Georgia_A3_4_0245","William Bartram, Plants gathered by William Bartram, West Georgia","Image courtesy of the Sloane Herbarium, Mark Spencer, Curator, the Natural History Museum, London. Creative Commons Attribution, NonCommercial, ShareAlike 3.0 Unported License."
"urn:cite:fufolioimg:BotCarBartramW.Bartram_William_Georgia_A5_0238","William Bartram, Plants gathered by William Bartram, West Georgia","Image courtesy of the Sloane Herbarium, Mark Spencer, Curator, the Natural History Museum, London. Creative Commons Attribution, NonCommercial, ShareAlike 3.0 Unported License."
"urn:cite:fufolioimg:BotCarBartramW.Bartram_William_Georgia_A5_6_0239","William Bartram, Plants gathered by William Bartram, West Georgia","Image courtesy of the Sloane Herbarium, Mark Spencer, Curator, the Natural History Museum, London. Creative Commons Attribution, NonCommercial, ShareAlike 3.0 Unported License."
"urn:cite:fufolioimg:BotCarBartramW.Bartram_William_Georgia_A7_0231","William Bartram, Plants gathered by William Bartram, West Georgia","Image courtesy of the Sloane Herbarium, Mark Spencer, Curator, the Natural History Museum, London. Creative Commons Attribution, NonCommercial, ShareAlike 3.0 Unported License."
"urn:cite:fufolioimg:BotCarBartramW.Bartram_William_Georgia_A7_A13_0242","William Bartram, Plants gathered by William Bartram, West Georgia","Image courtesy of the Sloane Herbarium, Mark Spencer, Curator, the Natural History Museum, London. Creative Commons Attribution, NonCommercial, ShareAlike 3.0 Unported License."
"urn:cite:fufolioimg:BotCarBartramW.Bartram_William_Georgia_A8_12_0243","William Bartram, Plants gathered by William Bartram, West Georgia","Image courtesy of the Sloane Herbarium, Mark Spencer, Curator, the Natural History Museum, London. Creative Commons Attribution, NonCommercial, ShareAlike 3.0 Unported License."
"urn:cite:fufolioimg:BotCarBartramW.Bartram_William_Georgia_A11_0244","William Bartram, Plants gathered by William Bartram, West Georgia","Image courtesy of the Sloane Herbarium, Mark Spencer, Curator, the Natural History Museum, London. Creative Commons Attribution, NonCommercial, ShareAlike 3.0 Unported License."
